OSM_ID,Latitude,Longitude,Name,Transit,Finance,Education,Retail,Civic,Healthcare,Food_Place,Government,Parking_Lot,PSGC,UrbanRural_2020CPH,Population_2020,Cluster
25389032,14.5220183,120.9966663,,13,109,6,1,18,12,450,2,18,1381000006.0,U,"26,928",3
25389083,14.5384325,120.9941861,Bentaub Drugstore [small],15,158,18,4,22,24,702,1,20,1381100076.0,U,"19,604",0
25426119,14.5323175,120.9936415,Farmacia Baclaran,12,136,14,4,19,18,676,1,21,1381000001.0,U,"33,850",0
25583862,14.5562011,121.0038035,Mercury Drug,7,413,27,4,31,41,725,0,19,1380300015.0,U,"11,623",0
25679323,13.148774,123.7167402,Mercury Drug,11,17,9,0,3,16,29,0,17,500503022.0,U,"1,854",3
25769115,11.9633295,121.9262176,,0,18,0,0,1,2,166,0,0,600412002.0,U,"10,282",1
26032624,14.5779169,120.9788535,Mercury Drug,4,171,14,0,22,54,493,1,18,1380608009.0,U,"2,371",0
253770230,14.1680371,121.2435152,Watsons,2,19,1,0,13,10,171,0,7,403411004.0,U,"12,578",1
255050237,14.6211192,121.0498626,Mercury Drug,17,171,33,2,31,36,542,0,36,1381300101.0,U,"11,632",0
255050410,14.596071,121.080688,Metro Drug,6,84,4,7,11,20,295,0,26,1381300126.0,U,"6,301",3
255051892,14.6445715,121.0222188,Sgm Drugstore,7,145,19,1,41,25,398,0,17,1381300076.0,U,"18,124",0
255052286,14.6232875,120.9991911,Mercury Drug,17,145,36,4,28,34,347,0,5,1381300107.0,U,"11,776",0
255056185,14.5623488,121.0279034,Mercury Drug,8,435,19,5,17,39,846,0,46,1380300002.0,U,"36,007",0
255060764,14.560069,121.0148561,Mercury Drug,6,473,20,4,23,49,856,0,35,1380300025.0,U,"14,054",0
255061761,14.5606487,121.0139671,Mercury Drug,7,473,20,4,25,48,859,0,32,1380300018.0,U,"50,722",0
255062285,14.5727958,121.0639868,Watsons,4,310,16,5,31,20,637,0,59,1381200013.0,U,"3,267",0
255062900,14.6185863,121.0096947,Mercury Drug,12,134,21,6,37,28,323,0,11,1381300032.0,U,"1,857",0
255062920,14.578589,121.0512446,Mercury Drug,4,339,14,4,24,21,649,0,60,1380500013.0,U,"43,267",0
255064991,14.5527569,121.0135794,Mercury Drug,8,475,21,6,18,45,750,0,31,1380300018.0,U,"50,722",0
255065517,14.5879978,121.0445019,Mercury Drug,3,345,15,3,23,24,685,0,66,1380500023.0,U,"6,003",0
255065755,14.61399,120.989051,Mercury Drug,21,219,60,3,46,36,517,1,12,1380606096.0,U,471,0
255066475,14.6581438,121.0195292,Mercury Drug,1,94,20,3,32,21,255,0,12,1381300089.0,U,"14,321",3
255070545,14.6425311,121.0264988,Yanchos Drugstore,5,159,23,1,39,28,459,0,23,1381300069.0,U,"2,456",0
255071166,14.5924667,121.0263831,Mercury Drug,7,112,13,6,48,32,375,0,34,1380500009.0,U,"4,529",0
255071463,14.5305464,120.9968751,Mercury Drug,12,138,13,2,20,19,683,1,21,1381000001.0,U,"33,850",0
255071645,14.5529213,120.9924312,Mercury Drug,8,157,17,3,13,26,469,0,15,1381100024.0,U,704,0
255072473,14.538514,121.0110455,Mercury Drug,12,191,14,3,26,18,319,0,19,1381100166.0,U,"1,190",0
284629856,14.0682755,121.3248061,Mercury Drug,5,67,6,0,12,42,119,0,0,403424031.0,U,85,3
286653629,14.5979214,120.9837583,Mercury Drug,12,331,51,0,35,32,645,1,20,1380603015.0,U,"1,248",0
308871522,14.0708863,121.3239553,Mercury Drug,5,67,6,0,12,42,118,0,1,403424021.0,U,845,3
310325212,12.3669108,123.621471,Mercury Drug,1,13,2,0,7,2,28,0,0,504111025.0,U,"3,892",1
310731191,14.0688942,121.3255055,Asklepios,5,66,5,0,12,41,117,0,0,403424032.0,U,135,3
313474008,14.0691789,121.3249511,Ace Midtown,5,67,6,0,12,42,119,0,0,403424031.0,U,85,3
316054326,7.1153776,125.6529903,Mercury Drug,2,18,8,0,9,3,37,0,5,1130700101.0,U,"54,862",1
316214902,14.0729951,121.3132081,CGH Pharmacy,5,73,4,0,11,42,151,0,3,403424064.0,U,"3,313",3
318832080,7.0703963,125.6051437,Amesco,6,146,29,2,57,49,766,4,41,1130700140.0,U,"3,362",0
318870299,14.5485412,121.0636418,Mercury Drug,2,166,23,7,30,18,423,0,23,1381500030.0,U,"15,805",0
319137791,7.0674393,125.6109545,Mercury Drug,8,151,29,2,53,46,718,4,39,1130700168.0,U,409,0
322793953,14.6338678,121.0974124,Mercury Drug,9,67,13,1,33,35,292,0,29,1380700009.0,U,"7,403",0
322793954,14.6325782,121.0962448,Mercury Drug,8,67,13,1,33,35,288,0,30,1380700009.0,U,"7,403",0
340863688,14.6117937,121.0708307,South Star Drug,8,103,13,4,18,24,379,0,35,1381300092.0,U,"2,054",0
346676318,13.9369703,121.6132149,Mercury Drug,1,50,17,2,9,5,63,0,8,431200006.0,U,"1,149",3
346676990,13.9369692,121.6133791,Carlos Superdrug,1,50,17,2,9,5,63,0,8,431200007.0,U,"2,910",3
346680656,13.9332487,121.6129016,Mercury Drug,2,50,16,2,9,5,59,0,8,431200009.0,U,650,3
355114225,10.3101461,123.9498262,Rose Pharmacy,13,26,12,0,5,4,56,0,1,731100012.0,U,"37,989",3
355114376,10.3261427,123.9524605,La Joela Pharmacy,10,44,15,0,6,10,71,0,1,731300016.0,U,"17,395",3
355114487,10.332531,123.9364194,Rose Pharmacy,10,44,13,0,8,12,140,1,2,731300012.0,U,"7,258",3
357733228,14.5765544,121.0331948,Mercury Drug,4,193,12,6,26,31,517,0,59,1380500022.0,U,"29,378",0
357738914,14.6819089,121.1153007,Mercury Drug,0,10,10,2,5,1,19,0,8,405811001.0,U,"27,346",1
358698139,13.9378298,121.6132589,Watsons,1,50,17,2,9,5,63,0,8,431200006.0,U,"1,149",3
369910563,10.3250276,123.9407102,Weng-Weng Pharmacy,9,41,15,0,6,11,116,1,1,731300010.0,U,"2,980",3
369910566,14.0711196,120.6325975,Mercury Drug,8,5,7,1,4,10,16,0,1,401019014.0,U,746,1
369910792,10.309934,123.893984,Mercury Drug,7,136,26,2,28,26,484,0,27,730600020.0,U,"12,604",0
369910879,10.3011691,123.9622257,Rose Pharmacy,13,30,16,1,7,8,102,0,0,731100005.0,U,"71,990",3
