OSM_ID,Latitude,Longitude,Name,Transit,Finance,Education,Retail,Civic,Healthcare,Food_Place,Government,Parking_Lot,PSGC,UrbanRural_2020CPH,Population_2020,Name_upper,Amenity_Sum,Urbanicity_Score,Urbanicity_Quantile,Cluster
25389032,14.5220183,120.9966663,,13,109,6,1,18,12,450,2,18,1381000006.0,U,26928.0,NAN,629,0.4261517615176152,Very Urban,3
25389083,14.5384325,120.9941861,Bentaub Drugstore [small],15,158,18,4,22,24,702,1,20,1381100076.0,U,19604.0,BENTAUB DRUGSTORE [SMALL],964,0.6531165311653117,Very Urban,2
25426119,14.5323175,120.9936415,Farmacia Baclaran,12,136,14,4,19,18,676,1,21,1381000001.0,U,33850.0,FARMACIA BACLARAN,901,0.6104336043360433,Very Urban,2
25583862,14.5562011,121.0038035,Mercury Drug,7,413,27,4,31,41,725,0,19,1380300015.0,U,11623.0,MERCURY DRUG,1267,0.8584010840108401,Very Urban,2
25679323,13.148774,123.7167402,Mercury Drug,11,17,9,0,3,16,29,0,17,500503022.0,U,1854.0,MERCURY DRUG,102,0.0691056910569105,Mixed,0
25769115,11.9633295,121.9262176,,0,18,0,0,1,2,166,0,0,600412002.0,U,10282.0,NAN,187,0.1266937669376693,Urban,1
26032624,14.5779169,120.9788535,Mercury Drug,4,171,14,0,22,54,493,1,18,1380608009.0,U,2371.0,MERCURY DRUG,777,0.5264227642276422,Very Urban,2
253770230,14.1680371,121.2435152,Watsons,2,19,1,0,13,10,171,0,7,403411004.0,U,12578.0,WATSONS,223,0.1510840108401084,Urban,0
255050237,14.6211192,121.0498626,Mercury Drug,17,171,33,2,31,36,542,0,36,1381300101.0,U,11632.0,MERCURY DRUG,868,0.5880758807588076,Very Urban,2
255050410,14.596071,121.080688,Metro Drug,6,84,4,7,11,20,295,0,26,1381300126.0,U,6301.0,METRO DRUG,453,0.306910569105691,Very Urban,2
255051892,14.6445715,121.0222188,Sgm Drugstore,7,145,19,1,41,25,398,0,17,1381300076.0,U,18124.0,SGM DRUGSTORE,653,0.4424119241192412,Very Urban,2
255052286,14.6232875,120.9991911,Mercury Drug,17,145,36,4,28,34,347,0,5,1381300107.0,U,11776.0,MERCURY DRUG,616,0.4173441734417344,Very Urban,2
255056185,14.5623488,121.0279034,Mercury Drug,8,435,19,5,17,39,846,0,46,1380300002.0,U,36007.0,MERCURY DRUG,1415,0.9586720867208672,Very Urban,2
255060764,14.560069,121.0148561,Mercury Drug,6,473,20,4,23,49,856,0,35,1380300025.0,U,14054.0,MERCURY DRUG,1466,0.9932249322493224,Very Urban,2
255061761,14.5606487,121.0139671,Mercury Drug,7,473,20,4,25,48,859,0,32,1380300018.0,U,50722.0,MERCURY DRUG,1468,0.994579945799458,Very Urban,2
255062285,14.5727958,121.0639868,Watsons,4,310,16,5,31,20,637,0,59,1381200013.0,U,3267.0,WATSONS,1082,0.7330623306233063,Very Urban,2
255062900,14.6185863,121.0096947,Mercury Drug,12,134,21,6,37,28,323,0,11,1381300032.0,U,1857.0,MERCURY DRUG,572,0.3875338753387534,Very Urban,2
255062920,14.578589,121.0512446,Mercury Drug,4,339,14,4,24,21,649,0,60,1380500013.0,U,43267.0,MERCURY DRUG,1115,0.755420054200542,Very Urban,2
255064991,14.5527569,121.0135794,Mercury Drug,8,475,21,6,18,45,750,0,31,1380300018.0,U,50722.0,MERCURY DRUG,1354,0.9173441734417344,Very Urban,2
255065517,14.5879978,121.0445019,Mercury Drug,3,345,15,3,23,24,685,0,66,1380500023.0,U,6003.0,MERCURY DRUG,1164,0.7886178861788617,Very Urban,2
255066475,14.6581438,121.0195292,Mercury Drug,1,94,20,3,32,21,255,0,12,1381300089.0,U,14321.0,MERCURY DRUG,438,0.2967479674796748,Very Urban,2
255070545,14.6425311,121.0264988,Yanchos Drugstore,5,159,23,1,39,28,459,0,23,1381300069.0,U,2456.0,YANCHOS DRUGSTORE,737,0.4993224932249323,Very Urban,2
255071166,14.5924667,121.0263831,Mercury Drug,7,112,13,6,48,32,375,0,34,1380500009.0,U,4529.0,MERCURY DRUG,627,0.4247967479674797,Very Urban,2
255071463,14.5305464,120.9968751,Mercury Drug,12,138,13,2,20,19,683,1,21,1381000001.0,U,33850.0,MERCURY DRUG,909,0.6158536585365854,Very Urban,2
255071645,14.5529213,120.9924312,Mercury Drug,8,157,17,3,13,26,469,0,15,1381100024.0,U,704.0,MERCURY DRUG,708,0.4796747967479675,Very Urban,2
255072473,14.538514,121.0110455,Mercury Drug,12,191,14,3,26,18,319,0,19,1381100166.0,U,1190.0,MERCURY DRUG,602,0.4078590785907859,Very Urban,2
286653629,14.5979214,120.9837583,Mercury Drug,12,331,51,0,35,32,645,1,20,1380603015.0,U,1248.0,MERCURY DRUG,1127,0.763550135501355,Very Urban,2
308871522,14.0708863,121.3239553,Mercury Drug,5,67,6,0,12,42,118,0,1,403424021.0,U,845.0,MERCURY DRUG,251,0.1700542005420054,Urban,3
310325212,12.3669108,123.621471,Mercury Drug,1,13,2,0,7,2,28,0,0,504111025.0,U,3892.0,MERCURY DRUG,53,0.0359078590785907,Rural,1
316054326,7.1153776,125.6529903,Mercury Drug,2,18,8,0,9,3,37,0,5,1130700101.0,U,54862.0,MERCURY DRUG,82,0.0555555555555555,Mixed,0
316214902,14.0729951,121.3132081,CGH Pharmacy,5,73,4,0,11,42,151,0,3,403424064.0,U,3313.0,CGH PHARMACY,289,0.1957994579945799,Urban,3
318832080,7.0703963,125.6051437,Amesco,6,146,29,2,57,49,766,4,41,1130700140.0,U,3362.0,AMESCO,1100,0.7452574525745257,Very Urban,2
318870299,14.5485412,121.0636418,Mercury Drug,2,166,23,7,30,18,423,0,23,1381500030.0,U,15805.0,MERCURY DRUG,692,0.4688346883468834,Very Urban,2
322793953,14.6338678,121.0974124,Mercury Drug,9,67,13,1,33,35,292,0,29,1380700009.0,U,7403.0,MERCURY DRUG,479,0.3245257452574526,Very Urban,2
322793954,14.6325782,121.0962448,Mercury Drug,8,67,13,1,33,35,288,0,30,1380700009.0,U,7403.0,MERCURY DRUG,475,0.3218157181571816,Very Urban,2
