amenity,operator,Latitude,Longitude,Amenity_Type,Raw_Amenity,OSM_ID,name,addr:city,addr:postcode,addr:street,addr:street:corner,brand,brand:wikidata,brand:wikipedia,healthcare,dispensing,drive_through,access:covid19,addr:village,delivery:covid19,shop,takeaway:covid19,addr2:street,branch,opening_hours,source,source:url,addr:province,mapillary,wheelchair,addr:quarter,brand:facebook,brand:website,description,level,payment:cash,addr:state,addr:housenumber,check_date,contact:phone,payment:credit_cards,payment:debit_cards,payment:qr_code,email,phone,ref:vatin,website,source:name,is_in:city,is_in:zip,addr:housename,facebook,payment:gcash,addr:district,air_conditioning,source:feature,source:position,survey:date,source:ph,opening_hours:covid19,note,contributor:ph,official_name,ph:contributor,addr:street:es,addr:floor,addr:town,addr:unit,addr:municipality,addr:place,alt_name,name:abbr,source_ref,building,image,ele,addr:building,contact:facebook,contact:website,wpt_symbol,addr:country,FIXME,arivac:name,arivac:type_id,arivac:typetxt,roof:material,wall:material,contributor,old_name,fixme,name:en,payment:mastercard,payment:visa,wpt_description,addr:barangay,short_name,not:brand:wikidata,check_date:opening_hours,operational_status,backup_generator,capacity:persons,operator:type,survey:name,water_source,addr:suburb,mobile,addr:city_block,internet_access,payment:cards,addr:housewing,contact:mobile,level:ref,name:it,sym,time,cmt,is_in:town,atm,name:es,emergency,surveillance,surveillance:type,previously,opening_hours:drive_through,operator:wikidata,operator:wikipedia,payment:mastercard_debit,payment:visa_debit,addr:street_1,postal_code,contact:email,layer,addr:neighbourhood,delivery,smoking,wall:material_1,noname,bubbleid,old_addr:street,addr:city:es,name:fr,payment:coins,payment:cryptocurrencies,boutique,addr:subdistrict,admin_level,payment:contactless,strapline,old_addr:housenumber,addr:milestone,floor:material,addr:hamlet,name:ru,San,building:levels,building:material,money_transfer,parking,unisex,nohousenumber,building:use,start_date,addr:block_number,delivery:partner,indoor,room,currency:XBT,payment:lightning,payment:lightning_contactless,payment:onchain,payment:telephone_cards,payment:maya,payment:paymaya,payment:qr_ph,internet_access:ssid,addr:lot,outdoor_seating,name:ceb,Transit,Finance,Education,Retail,Civic,Healthcare,Food_Place,Government,Infrastructure,index_right,adm4_psgc,adm4_en,geo_level,len_crs,area_crs,len_km,area_km2
pharmacy,Mercury Drug,14.5220183,120.9966663,Pharmacy,pharmacy,25389032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,109,6,1,18,12,450,2,18,34990.0,1381000006.0,Tambo,Bgy,9115.0,3707861.0,9.0,3.0
pharmacy,,14.5384325,120.9941861,Pharmacy,pharmacy,25389083,Bentaub Drugstore [small],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,158,18,4,22,24,702,1,20,35076.0,1381100076.0,Barangay 76,Bgy,12821.0,4263920.0,12.0,4.0
pharmacy,,14.5323175,120.9936415,Pharmacy,pharmacy,25426119,Farmacia Baclaran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,136,14,4,19,18,676,1,21,34985.0,1381000001.0,Baclaran,Bgy,6584.0,1588738.0,6.0,1.0
pharmacy,,14.5562011,121.0038035,Pharmacy,pharmacy,25583862,Mercury Drug,Makati,1235,Senator Gil Puyat Avenue,Dian,Mercury Drug,Q6818610,en:Mercury Drug,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,413,27,4,31,41,725,0,19,33971.0,1380300015.0,Palanan,Bgy,3443.0,643721.0,3.0,0.0
pharmacy,,13.1487740,123.7167402,Pharmacy,pharmacy,25679323,Mercury Drug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,17,9,0,3,16,29,0,17,12803.0,500503022.0,Ilawod Area Pob.,Bgy,1531.0,134540.0,1.0,0.0
pharmacy,,11.9633295,121.9262176,Pharmacy,pharmacy,25769115,,,,,,,,,pharmacy,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,0,0,1,2,166,0,0,16367.0,600412002.0,Balabag,Bgy,10136.0,3234634.0,10.0,3.0
pharmacy,,14.5779169,120.9788535,Pharmacy,pharmacy,26032624,Mercury Drug,,,,,Mercury Drug,Q6818610,,pharmacy,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,171,14,0,22,54,493,1,18,34682.0,1380608009.0,Barangay 667,Bgy,1855.0,199162.0,1.0,0.0
pharmacy,,14.1680371,121.2435152,Pharmacy,pharmacy,253770230,Watsons,Los Baños,4031,Lopez Avenue,,Watsons,Q7974785,en:Watsons,pharmacy,,,yes,Batong Malake,no,chemist,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,19,1,0,13,10,171,0,7,10785.0,403411004.0,Batong Malake,Bgy,21241.0,12887110.0,21.0,12.0
pharmacy,,14.6211192,121.0498626,Pharmacy,pharmacy,255050237,Mercury Drug,Quezon City,,Aurora Boulevard,,Mercury Drug,Q6818610,,pharmacy,yes,,,,,,,EDSA,Cubao - Pinatubo,24/7,jklinc,http://www.freewebs.com/phroadguide/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,171,33,2,31,36,542,0,36,35332.0,1381300101.0,San Martin De Porres,Bgy,2184.0,207740.0,2.0,0.0
pharmacy,,14.5960710,121.0806880,Pharmacy,pharmacy,255050410,Metro Drug,Pasig,1600,,,,,,pharmacy,,,,,,,,,,,jklinc,http://www.freewebs.com/phroadguide/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,84,4,7,11,20,295,0,26,35357.0,1381300126.0,Ugong Norte,Bgy,8443.0,2780320.0,8.0,2.0
